Sigla;Código;Município;Renda per capita média (Atlas DH - Censo) (2010);Percentual da população de 25 anos ou mais com ensino médio completo (Atlas DH - Censo) (2010);
AM;1300409;Barcelos;237,29;13,65;
AM;1300508;Barreirinha;148,28;19,86;
AM;1300607;Benjamin Constant;211,1;21,92;
AM;1300631;Beruri;193,4;13,92;
AM;1300680;Boa Vista do Ramos;175,55;17,73;
AM;1300706;Boca do Acre;288,42;18,85;
AM;1300805;Borba;219,83;18,57;
AM;1300839;Caapiranga;235,49;22,7;
AM;1300904;Canutama;206,44;14,56;
AM;1301001;Carauari;222,32;17,16;
AM;1301100;Careiro;197,06;15,85;
AM;1301159;Careiro da Várzea;207,18;16,52;
AM;1301209;Coari;347,2;22,29;
AM;1301308;Codajás;239,64;20,93;
AM;1301407;Eirunepé;241,86;21,7;
AM;1301506;Envira;204,98;16,69;
AM;1301605;Fonte Boa;200,4;16,14;
AM;1301654;Guajará;191,04;16,72;
AM;1301704;Humaitá;382,13;25,23;
AM;1301803;Ipixuna;154,54;15,43;
AM;1301852;Iranduba;349,23;21,48;
AM;1301902;Itacoatiara;373,71;28,55;
AM;1301951;Itamarati;214,95;8,26;
AM;1302009;Itapiranga;321,94;32,25;
AM;1302108;Japurá;248,6;11,04;
AM;1302207;Juruá;227,39;11,44;
AM;1302306;Jutaí;214,36;12,28;
AM;1302405;Lábrea;227,62;14,61;
AM;1302504;Manacapuru;342,58;22,49;
AM;1302553;Manaquiri;254,15;14,84;
AM;1302603;Manaus;790,27;49,86;
AM;1302702;Manicoré;295,23;19,49;
AM;1302801;Maraã;144,99;14,09;
AM;1302900;Maués;244,3;20,57;
AM;1303007;Nhamundá;195,12;19,15;
AM;1303106;Nova Olinda do Norte;232,07;16,71;
AM;1303205;Novo Airão;246,44;21,89;
AM;1303304;Novo Aripuanã;219,69;19,92;
AM;1303403;Parintins;313,07;31,45;
AM;1303502;Pauini;218,21;19,07;
AM;1303536;Presidente Figueiredo;396,51;27,89;
AM;1303569;Rio Preto da Eva;315,24;22,15;
AM;1303601;Santa Isabel do Rio Negro;141,04;17,81;
AM;1303700;Santo Antônio do Içá;122,21;14,34;
AM;1303809;São Gabriel da Cachoeira;355,51;23,47;
AM;1303908;São Paulo de Olivença;150,28;20,06;
AM;1303957;São Sebastião do Uatumã;262,79;22;
AM;1304005;Silves;238,53;25,45;
AM;1304062;Tabatinga;338,4;30,23;
